route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
9349,3,5890349,the Richmond District,0,103,112831
9349,3,5890350,the Richmond District,0,106,112831
9349,3,5890351,the Richmond District,0,109,112831
9349,3,5890352,the Richmond District,0,102,112831
9349,3,5890353,the Richmond District,0,113,112831
9349,3,5890354,the Richmond District,0,112,112831
9349,3,5890355,the Richmond District,0,108,112831
9349,3,5890356,the Richmond District,0,105,112831
9349,3,5890357,the Richmond District,0,111,112831
9349,3,5890358,the Richmond District,0,101,112831
9349,3,5890359,the Richmond District,0,107,112831
9349,3,5890360,the Richmond District,0,104,112831
9349,3,5890361,the Richmond District,0,110,112831
9349,3,5890362,the Richmond District,0,103,112831
9349,3,5890363,the Richmond District,0,106,112831
9349,3,5890364,the Richmond District,0,109,112831
9349,3,5890365,the Richmond District,0,102,112831
9349,3,5890366,the Richmond District,0,113,112831
9349,3,5890367,the Richmond District,0,112,112831
9349,3,5890368,the Richmond District,0,108,112831
9349,3,5890369,the Richmond District,0,105,112831
9349,3,5890370,the Richmond District,0,111,112831
9349,3,5890371,the Richmond District,0,101,112831
9349,3,5890372,the Richmond District,0,107,112831
9349,3,5890373,the Richmond District,0,104,112831
9349,3,5890374,the Richmond District,0,110,112831
9349,3,5890375,the Richmond District,0,103,112831
9349,3,5890376,the Richmond District,0,106,112831
9349,3,5890377,the Richmond District,0,109,112831
9349,3,5890378,the Richmond District,0,102,112831
9349,3,5890379,the Richmond District,0,113,112831
9349,3,5890380,the Richmond District,0,112,112831
9349,3,5890381,the Richmond District,0,108,112831
9349,3,5890382,the Richmond District,0,105,112831
9349,3,5890383,the Richmond District,0,111,112831
9349,3,5890384,the Richmond District,0,101,112831
9349,3,5890385,the Richmond District,0,107,112831
9349,3,5890411,the Richmond District,0,103,112831
9349,3,5890413,the Richmond District,0,106,112831
9349,3,5890414,the Richmond District,0,109,112831
9349,3,5890416,the Richmond District,0,102,112831
9349,3,5890417,the Richmond District,0,108,112831
9349,3,5890419,the Richmond District,0,105,112831
9349,3,5890421,the Richmond District,0,101,112831
9349,3,5890422,the Richmond District,0,107,112831
9349,3,5890423,the Richmond District,0,104,112831
9349,3,5890425,the Richmond District,0,103,112831
9349,3,5890426,the Richmond District,0,106,112831
9349,3,5890428,the Richmond District,0,102,112831
9349,3,5890429,the Richmond District,0,105,112831
9349,3,5890430,the Richmond District,0,101,112831
9349,3,5890431,the Richmond District,0,104,112831
9349,3,5890433,the Richmond District,0,103,112831
9349,3,5890434,the Richmond District,0,102,112831
9349,3,5890436,the Richmond District,0,101,112831
9349,2,5890075,the Richmond District,0,108,112831
9349,2,5890076,the Richmond District,0,101,112831
9349,2,5890077,the Richmond District,0,106,112831
9349,2,5890078,the Richmond District,0,102,112831
9349,2,5890079,the Richmond District,0,108,112831
9349,2,5890080,the Richmond District,0,101,112831
9349,2,5890081,the Richmond District,0,106,112831
9349,2,5890082,the Richmond District,0,102,112831
9349,2,5890083,the Richmond District,0,108,112831
9349,2,5890084,the Richmond District,0,101,112831
9349,2,5890085,the Richmond District,0,106,112831
9349,2,5890086,the Richmond District,0,102,112831
9349,2,5890087,the Richmond District,0,108,112831
9349,2,5890088,the Richmond District,0,101,112831
9349,2,5890089,the Richmond District,0,106,112831
9349,2,5890090,the Richmond District,0,102,112831
9349,2,5890091,the Richmond District,0,108,112831
9349,2,5890092,the Richmond District,0,101,112831
9349,2,5890093,the Richmond District,0,104,112831
9349,3,5890321,the Richmond District,0,108,112831
9349,3,5890322,the Richmond District,0,101,112831
9349,3,5890323,the Richmond District,0,106,112831
9349,3,5890324,the Richmond District,0,102,112831
9349,3,5890325,the Richmond District,0,108,112831
9349,3,5890326,the Richmond District,0,101,112831
9349,3,5890327,the Richmond District,0,106,112831
9349,3,5890328,the Richmond District,0,102,112831
9349,3,5890329,the Richmond District,0,108,112831
9349,3,5890330,the Richmond District,0,101,112831
9349,3,5890331,the Richmond District,0,106,112831
9349,3,5890332,the Richmond District,0,102,112831
9349,3,5890333,the Richmond District,0,108,112831
9349,3,5890334,the Richmond District,0,101,112831
9349,3,5890335,the Richmond District,0,106,112831
9349,3,5890336,the Richmond District,0,102,112831
9349,3,5890337,the Richmond District,0,108,112831
9349,3,5890338,the Richmond District,0,101,112831
9349,3,5890339,the Richmond District,0,104,112831
9349,3,5890341,the Richmond District,0,106,112831
9349,3,5890342,the Richmond District,0,102,112831
9349,3,5890343,the Richmond District,0,113,112831
9349,3,5890344,the Richmond District,0,108,112831
9349,3,5890345,the Richmond District,0,105,112831
9349,3,5890346,the Richmond District,0,101,112831
9349,3,5890347,the Richmond District,0,107,112831
9349,3,5890348,the Richmond District,0,104,112831
9349,2,5890122,the Richmond District,0,108,112831
9349,2,5890123,the Richmond District,0,105,112831
9349,2,5890124,the Richmond District,0,111,112831
9349,2,5890125,the Richmond District,0,101,112831
9349,2,5890126,the Richmond District,0,107,112831
9349,2,5890127,the Richmond District,0,104,112831
9349,2,5890128,the Richmond District,0,110,112831
9349,2,5890129,the Richmond District,0,103,112831
9349,2,5890130,the Richmond District,0,106,112831
9349,2,5890131,the Richmond District,0,109,112831
9349,2,5890132,the Richmond District,0,102,112831
9349,2,5890133,the Richmond District,0,113,112831
9349,2,5890134,the Richmond District,0,112,112831
9349,2,5890135,the Richmond District,0,108,112831
9349,2,5890136,the Richmond District,0,105,112831
9349,2,5890137,the Richmond District,0,111,112831
9349,2,5890138,the Richmond District,0,101,112831
9349,2,5890139,the Richmond District,0,107,112831
9349,2,5890140,the Richmond District,0,104,112831
9349,2,5890141,the Richmond District,0,110,112831
9349,2,5890142,the Richmond District,0,103,112831
9349,2,5890143,the Richmond District,0,106,112831
9349,2,5890144,the Richmond District,0,109,112831
9349,2,5890145,the Richmond District,0,102,112831
9349,2,5890146,the Richmond District,0,113,112831
9349,2,5890147,the Richmond District,0,112,112831
9349,2,5890148,the Richmond District,0,108,112831
9349,2,5890149,the Richmond District,0,105,112831
9349,2,5890150,the Richmond District,0,111,112831
9349,2,5890151,the Richmond District,0,101,112831
9349,2,5890152,the Richmond District,0,107,112831
9349,2,5890153,the Richmond District,0,104,112831
9349,2,5890154,the Richmond District,0,110,112831
9349,2,5890155,the Richmond District,0,103,112831
9349,2,5890156,the Richmond District,0,106,112831
9349,2,5890157,the Richmond District,0,109,112831
9349,2,5890158,the Richmond District,0,102,112831
9349,3,5890386,the Richmond District,0,104,112831
9349,3,5890387,the Richmond District,0,110,112831
9349,3,5890388,the Richmond District,0,103,112831
9349,3,5890389,the Richmond District,0,106,112831
9349,3,5890390,the Richmond District,0,109,112831
9349,3,5890391,the Richmond District,0,102,112831
9349,3,5890392,the Richmond District,0,113,112831
9349,3,5890393,the Richmond District,0,112,112831
9349,3,5890394,the Richmond District,0,108,112831
