fare_id,route_id,origin_id,destination_id,contains_id
1,9349,,,
1,1002,,,
1,1003,,,
1,1005,,,
1,1055,,,
1,1006,,,
1,1071,,,
1,1072,,,
1,1108,,,
1,1109,,,
1,1110,,,
1,1900,,,
1,1901,,,
1,1010,,,
1,1012,,,
1,9358,,,
1,9359,,,
1,9360,,,
1,9361,,,
1,9362,,,
1,9363,,,
1,9364,,,
1,9365,,,
1,9366,,,
1,9367,,,
1,1028,,,
1,1029,,,
1,9369,,,
1,1030,,,
1,1045,,,
1,9371,,,
1,9372,,,
1,9373,,,
1,9374,,,
1,9375,,,
1,9376,,,
1,9377,,,
1,9378,,,
1,9379,,,
1,9380,,,
1,9381,,,
1,9382,,,
1,9383,,,
1,9384,,,
1,9385,,,
1,9386,,,
2,1059,,,
2,1060,,,
2,9388,,,
1,9389,,,
1,9390,,,
1,9391,,,
1,1080,,,
1,1081,,,
1,1082,,,
1,9393,,,
1,9394,,,
1,9395,,,
1,9396,,,
1,1094,,,
1,1093,,,
1,1101,,,
1,1102,,,
1,1103,,,
1,1104,,,
1,1105,,,
1,1106,,,
1,1197,,,
1,1199,,,
1,1198,,,
1,1196,,,
1,1033,,,
1,1034,,,
1,1031,,,
1,1032,,,
1,1038,,,
1,1039,,,
1,9408,,,
1,1115,,,
1,1114,,,
1,9410,,,
1,9411,,,
1,9543,,,
1,9508,,,
